CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"9160","HONR 301","1","Stem Cells: Science &amp; Society","3","  HON","Lec","MWF","1000-1050","TRIB 1210","Meighan, Christopher","19","Open",
"9081","HONR 317","1","Youth Violence","3","  HON","Lec","TR","1100-1215","FORBES 2012","Waldron, Linda","19","Open",
"9082","HONR 345","1","Science on the Stage","3","  HON","Lec","TR","1500-1615","FERG 207","Gillman, Denise","19","Open",
"9084","HONR 369","1","Science Of Evil","3","  HON","Lec","MWF","1100-1150","FORBES 2014","Dow, Gayle","19","Open",
"9083","HONR 375","1","Naturalism Across Disciplines","3","  HON","Lec","MWF","1200-1250","MCM 310","Larson, Sharon","19","Open",
"9087","HONR 381","1","Major-Related Indpdnt Study","0 - 3","  HON","Ind","","","ARR ","Paul, Jay","0","Closed",
"9088","HONR 382","1","HNRS: Civic Engagement","0 - 3","  HON","Pra","","","ARR ","Paul, Jay","49","Open",
"9089","HONR 382","2","HNRS: Civic Engagement","0 - 3","  HON","Pra","","","ARR ","Paul, Jay","49","Open",
"9090","HONR 383","1","HNRS: Study Abroad","0 - 3","  HON","Lec","","","ARR ","Paul, Jay","0","Closed",
"9161","HONR 386","1","Illusion of Broken Systems HBO","3","  HON","Lec","TR","0930-1045","TRIB 1210","Chace, Sarah","19","Open",
"9140","HONR 387","1","Social Media and the Law","3","  HON","Lec","TR","1330-1445","LUTR 137","Ficht, Linda","19","Open",
"9154","HONR 389","1","Federalist and Anti-Fed Papers","3","  HON","Lec","TR","1630-1745","MCM 262","Lynerd, Benjamin","19","Open",
"9243","HONR 390","1","Constitutional Convention 1787","3","  HON","Lec","MWF","0900-0950","MCM 312","Garmon, Frank","19","Open",
"9244","HONR 391","1","Crossword Puzzles","3","  HON","Lec","TR","1500-1615","TFAC 204","Fogarty, Neville","19","Open",
"9264","HONR 392","1","Communicating Sustainability","3","  HON","Lec","MWF","0900-0950","LUTR 170","Manning, Linda","19","Open",
"9265","HONR 393","1","Crisis and Opportunity","3","  HON","Lec","TR","0930-1045","LUTR 137","Hettche, Matthew","19","Open",
"9091","HONR 484","1","Honors Portfolio","1","  HON","Ind","","","ARR ","Paul, Jay","49","Open",
"9162","HONR 484","2","Honors Portfolio","1","  HON","Ind","","","ARR ","Paul, Jay","49","Open",
"9163","HONR 484","3","Honors Portfolio","1","  HON","Ind","","","ARR ","Paul, Jay","49","Open",
